case_a,case_b,jaccard
lane_focus|DEGREE_LIMIT_3,slope_focus|DEGREE_LIMIT_3,0.2413793103448276
protection_focus|MST,protection_focus|T2_SPANNER,0.2872340425531915
protection_focus|MST,protection_focus|DEGREE_LIMIT_3,0.3333333333333333
protection_focus|MST,slope_focus|MST,0.2413793103448276
protection_focus|MST,slope_focus|T2_SPANNER,0.15139442231075698
protection_focus|MST,slope_focus|DEGREE_LIMIT_3,0.2413793103448276
protection_focus|T2_SPANNER,protection_focus|DEGREE_LIMIT_3,0.17475728155339806
protection_focus|T2_SPANNER,slope_focus|MST,0.1308411214953271
protection_focus|T2_SPANNER,slope_focus|T2_SPANNER,0.22254335260115607
protection_focus|T2_SPANNER,slope_focus|DEGREE_LIMIT_3,0.12037037037037036
protection_focus|DEGREE_LIMIT_3,slope_focus|MST,0.27058823529411763
protection_focus|DEGREE_LIMIT_3,slope_focus|T2_SPANNER,0.1606425702811245
protection_focus|DEGREE_LIMIT_3,slope_focus|DEGREE_LIMIT_3,0.2413793103448276
slope_focus|MST,slope_focus|T2_SPANNER,0.2297872340425532
slope_focus|MST,slope_focus|DEGREE_LIMIT_3,0.7142857142857143
slope_focus|T2_SPANNER,slope_focus|DEGREE_LIMIT_3,0.1991701244813278
