pair_order,pair_id,from_order,from_station_id,from_station_name,to_order,to_station_id,to_station_name,w1_distance_m,distance_km,w2_average_lanes,w3_protection_proxy,w3_child_protection_proxy,w3_senior_protection_proxy,w3_disabled_protection_proxy,w3_classification,w4_average_absolute_grade_pct,w4_classification
11,ST001__ST012,1,ST001,월곶역,12,ST012,신천역,9663.0,9.663,3.1389937154892604,0.13373513,0.120476554,0.058545419,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.347871234,PRELIMINARY_90M
12,ST001__ST013,1,ST001,월곶역,13,ST013,삼미시장,9482.0,9.482,3.1837495936503077,0.119793102,0.106281611,0.059662208,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.374327025,PRELIMINARY_90M
13,ST001__ST014,1,ST001,월곶역,14,ST014,시흥대야역,10345.0,10.345,3.077670885016786,0.204886147,0.155571656,0.121201371,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.733430341,PRELIMINARY_90M
14,ST001__ST015,1,ST001,월곶역,15,ST015,목감택지개발예정지구,11985.0,11.985,2.1415444016209766,0.073988583,0.073988583,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.910643961,PRELIMINARY_90M
15,ST001__ST016,1,ST001,월곶역,16,ST016,물왕호수,10422.0,10.422,2.114969521905537,0.085103461,0.085103461,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.998850572,PRELIMINARY_90M
16,ST001__ST017,1,ST001,월곶역,17,ST017,장곡동,5471.0,5.471,2.2032904503529056,0.141154833,0.141154833,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.041065843,PRELIMINARY_90M
17,ST001__ST018,1,ST001,월곶역,18,ST018,정왕역,8408.0,8.408,2.3918789326341554,0.113532322,0.113532322,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,3.168487094,PRELIMINARY_90M
18,ST001__ST019,1,ST001,월곶역,19,ST019,시화병원,8079.0,8.079,2.5208666486840325,0.077315377,0.077315377,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,3.284411932,PRELIMINARY_90M
19,ST001__ST020,1,ST001,월곶역,20,ST020,시화공업단지[왼쪽부근],9551.0,9.551,2.6636149917137995,0.125880368,0.125880368,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.883103763,PRELIMINARY_90M
20,ST001__ST021,1,ST001,월곶역,21,ST021,오이도 포구 해양관광 단지,10793.0,10.793,3.5692866457416605,0.206106074,0.158260973,0.047845101,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.833399869,PRELIMINARY_90M
21,ST001__ST022,1,ST001,월곶역,22,ST022,오이도박물관,11587.0,11.587,2.5651565658220274,0.189285544,0.148267524,0.04101802,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.559906603,PRELIMINARY_90M
22,ST001__ST023,1,ST001,월곶역,23,ST023,오이도역,5851.0,5.851,3.2813856216322828,0.265377551,0.265377551,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.177724274,PRELIMINARY_90M
23,ST001__ST024,1,ST001,월곶역,24,ST024,목감고등학교,12871.0,12.871,2.1785440494842936,0.113261046,0.113261046,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.88039329,PRELIMINARY_90M
24,ST001__ST025,1,ST001,월곶역,25,ST025,목감동행정복지센터,18498.0,18.498,2.7382049832865003,0.126379283,0.126379283,0.009451603,0.0,PRELIMINARY_POINT_BUFFER_PROXY,3.135162631,PRELIMINARY_90M
25,ST001__ST026,1,ST001,월곶역,26,ST026,은계파크자이,11844.0,11.844,2.349349490956791,0.245611134,0.192924309,0.073109867,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.650203434,PRELIMINARY_90M
26,ST001__ST027,1,ST001,월곶역,27,ST027,은행동행정복지센터,11582.0,11.582,2.3633224358048475,0.225928346,0.172047064,0.074767334,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.782448154,PRELIMINARY_90M
27,ST001__ST028,1,ST001,월곶역,28,ST028,매화산업단지,11836.0,11.836,2.36274090325665,0.176039328,0.161852085,0.034852774,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.410613789,PRELIMINARY_90M
28,ST001__ST029,1,ST001,월곶역,29,ST029,관곡공원,8007.0,8.007,2.4957917874297677,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.474024387,PRELIMINARY_90M
29,ST001__ST030,1,ST001,월곶역,30,ST030,장곡도서관,6268.0,6.268,2.1504305313841865,0.222809114,0.222809114,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.637690152,PRELIMINARY_90M
30,ST001__ST031,1,ST001,월곶역,31,ST031,마전저수지,4726.0,4.726,2.1733816526852707,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.971254241,PRELIMINARY_90M
31,ST001__ST032,1,ST001,월곶역,32,ST032,희망공원,9862.0,9.862,3.6110472422904527,0.173219947,0.173219947,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.055008756,PRELIMINARY_90M
32,ST001__ST033,1,ST001,월곶역,33,ST033,타원산업단지,11330.0,11.33,2.573144628808778,0.07953692,0.07953692,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.619153543,PRELIMINARY_90M
33,ST001__ST034,1,ST001,월곶역,34,ST034,군자디지털과학고등학교,8277.0,8.277,1.9078452826401169,0.168648431,0.168648431,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.162643123,PRELIMINARY_90M
34,ST001__ST035,1,ST001,월곶역,35,ST035,산들공원,7924.0,7.924,1.9358117007644187,0.13183252,0.13183252,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.183904951,PRELIMINARY_90M
35,ST001__ST036,1,ST001,월곶역,36,ST036,시흥시립군자도서관,8542.0,8.542,1.9383921017791224,0.194568464,0.194568464,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.404183711,PRELIMINARY_90M
36,ST001__ST037,1,ST001,월곶역,37,ST037,군자동행정복지센터,9175.0,9.175,1.8486750899454882,0.250028188,0.250028188,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.330406287,PRELIMINARY_90M
37,ST001__ST038,1,ST001,월곶역,38,ST038,능곡도서관,9189.0,9.189,2.207876585874364,0.151020385,0.143541514,0.010036469,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.70966098,PRELIMINARY_90M
38,ST001__ST039,1,ST001,월곶역,39,ST039,능곡힐스테이트,9287.0,9.287,2.20571435228064,0.157848013,0.12796136,0.029886653,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.709054796,PRELIMINARY_90M
39,ST001__ST040,1,ST001,월곶역,40,ST040,갯골생태공원,5747.0,5.747,2.2745800351507977,0.059449603,0.059449603,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.594274833,PRELIMINARY_90M
40,ST001__ST041,1,ST001,월곶역,41,ST041,연꽃테마파크,11024.0,11.024,2.143081387721381,0.184019365,0.169751028,0.049417224,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.370109047,PRELIMINARY_90M
41,ST001__ST042,1,ST001,월곶역,42,ST042,시흥시청역,7620.0,7.62,2.205037081450518,0.116366312,0.116366312,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.658554214,PRELIMINARY_90M
42,ST001__ST043,1,ST001,월곶역,43,ST043,시흥종합버스터미널,9008.0,9.008,2.536862478986472,0.084178966,0.084178966,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,3.026550194,PRELIMINARY_90M
43,ST001__ST044,1,ST001,월곶역,44,ST044,경기과학기술대학교,9744.0,9.744,2.584045983958349,0.135564347,0.135564347,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.951537709,PRELIMINARY_90M
44,ST001__ST045,1,ST001,월곶역,45,ST045,시흥중앙도서관,8509.0,8.509,2.4890978744652723,0.087374093,0.087374093,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,3.180460753,PRELIMINARY_90M
45,ST001__ST046,1,ST001,월곶역,46,ST046,배곧1동행정복지센터,4670.0,4.67,2.9757922070900085,0.286688266,0.286688266,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.278413692,PRELIMINARY_90M
46,ST001__ST047,1,ST001,월곶역,47,ST047,배곧2동행정복지센터,7096.0,7.096,2.7538987961978174,0.159419462,0.159419462,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.244990657,PRELIMINARY_90M
47,ST001__ST048,1,ST001,월곶역,48,ST048,정왕평생학습관 사거리,8349.0,8.349,2.5384931329101597,0.107172999,0.107172999,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,3.191673391,PRELIMINARY_90M
48,ST001__ST049,1,ST001,월곶역,49,ST049,거북섬 웨이브파크 정문,12063.0,12.063,3.4767080390798215,0.157490075,0.157490075,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.49558398,PRELIMINARY_90M
49,ST001__ST050,1,ST001,월곶역,50,ST050,시흥한라3차아파트,6292.0,6.292,3.4684809422228047,0.250376476,0.250376476,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.158846195,PRELIMINARY_90M
50,ST001__ST051,1,ST001,월곶역,51,ST051,연성중학교,8421.0,8.421,2.3041351110427213,0.191690511,0.181080056,0.020477849,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.276092573,PRELIMINARY_90M
51,ST001__ST052,1,ST001,월곶역,52,ST052,가온그린공원,6035.0,6.035,2.185669146366726,0.174249152,0.174249152,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.059195852,PRELIMINARY_90M
52,ST001__ST053,1,ST001,월곶역,53,ST053,오이도 빨강등대,11158.0,11.158,3.5178705850326684,0.196616462,0.15357452,0.043041943,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.864818909,PRELIMINARY_90M
53,ST001__ST054,1,ST001,월곶역,54,ST054,시흥 프리미엄 아울렛,3069.0,3.069,2.971566575272677,0.131704676,0.131704676,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.446878915,PRELIMINARY_90M
54,ST001__ST055,1,ST001,월곶역,55,ST055,해양생태과학관,11608.0,11.608,3.5024056957677026,0.147127457,0.147127457,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.519163315,PRELIMINARY_90M
55,ST002__ST003,2,ST002,월곶포구,3,ST003,배곧한울공원,6181.0,6.181,2.4749749767137175,0.199057367,0.199057367,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.283031499,PRELIMINARY_90M
56,ST002__ST004,2,ST002,월곶포구,4,ST004,배곧중심상가,3192.0,3.192,3.5458499603414118,0.332930014,0.332930014,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.198313388,PRELIMINARY_90M
57,ST002__ST005,2,ST002,월곶포구,5,ST005,배곧중·고등학교,2904.0,2.904,2.877154091987604,0.467373807,0.467373807,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.233991083,PRELIMINARY_90M
58,ST002__ST006,2,ST002,월곶포구,6,ST006,시흥시청 본청,6776.0,6.776,2.1608815000917105,0.303637314,0.303637314,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.896784016,PRELIMINARY_90M
59,ST002__ST007,2,ST002,월곶포구,7,ST007,장현지구,5926.0,5.926,2.18303415787715,0.266832809,0.266832809,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.765903969,PRELIMINARY_90M
60,ST002__ST008,2,ST002,월곶포구,8,ST008,시흥능곡역,8261.0,8.261,2.155457395225097,0.235590899,0.235590899,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.639786813,PRELIMINARY_90M
61,ST002__ST009,2,ST002,월곶포구,9,ST009,능곡중앙공원,8909.0,8.909,2.1597855366879912,0.285476645,0.272125216,0.066994175,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.712174897,PRELIMINARY_90M
62,ST002__ST010,2,ST002,월곶포구,10,ST010,은계호수공원,11014.0,11.014,3.1061839442020633,0.327183083,0.294943155,0.099765924,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.622043931,PRELIMINARY_90M
63,ST002__ST011,2,ST002,월곶포구,11,ST011,배곧생명공원,3928.0,3.928,3.437997456052192,0.304495296,0.304495296,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.160746133,PRELIMINARY_90M
64,ST002__ST012,2,ST002,월곶포구,12,ST012,신천역,8983.0,8.983,3.1711065178480338,0.228261946,0.213997667,0.062986265,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.40019603,PRELIMINARY_90M
65,ST002__ST013,2,ST002,월곶포구,13,ST013,삼미시장,8913.0,8.913,3.1699010313471865,0.195254791,0.180876461,0.06348988,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.384881968,PRELIMINARY_90M
66,ST002__ST014,2,ST002,월곶포구,14,ST014,시흥대야역,9776.0,9.776,3.0588362192751695,0.2786786,0.226479007,0.128292153,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.761333555,PRELIMINARY_90M
67,ST002__ST015,2,ST002,월곶포구,15,ST015,목감택지개발예정지구,11305.0,11.305,2.1069502302882155,0.145481854,0.145481854,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.989500623,PRELIMINARY_90M
68,ST002__ST016,2,ST002,월곶포구,16,ST016,물왕호수,9742.0,9.742,2.0729562158950396,0.168865377,0.168865377,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,3.091160952,PRELIMINARY_90M
69,ST002__ST017,2,ST002,월곶포구,17,ST017,장곡동,4791.0,4.791,2.1304248058352484,0.31944135,0.31944135,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.098557604,PRELIMINARY_90M
70,ST002__ST018,2,ST002,월곶포구,18,ST018,정왕역,7728.0,7.728,2.3633230741544877,0.221665055,0.221665055,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,3.302486644,PRELIMINARY_90M
71,ST002__ST019,2,ST002,월곶포구,19,ST019,시화병원,7399.0,7.399,2.5029211086978633,0.18693605,0.18693605,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,3.435578338,PRELIMINARY_90M
72,ST002__ST020,2,ST002,월곶포구,20,ST020,시화공업단지[왼쪽부근],8871.0,8.871,2.659617387464015,0.221037333,0.221037333,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.977741312,PRELIMINARY_90M
73,ST002__ST021,2,ST002,월곶포구,21,ST021,오이도 포구 해양관광 단지,10009.0,10.009,2.697243707061011,0.174538062,0.122902166,0.051635896,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.963748922,PRELIMINARY_90M
74,ST002__ST022,2,ST002,월곶포구,22,ST022,오이도박물관,9809.0,9.809,2.3331559962647863,0.25172601,0.203252567,0.048473444,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.60367083,PRELIMINARY_90M
75,ST002__ST023,2,ST002,월곶포구,23,ST023,오이도역,4306.0,4.306,3.2745199097294737,0.435659498,0.435659498,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.096657756,PRELIMINARY_90M
76,ST002__ST024,2,ST002,월곶포구,24,ST024,목감고등학교,12191.0,12.191,2.1485274514581043,0.181762375,0.181762375,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.9485876,PRELIMINARY_90M
77,ST002__ST025,2,ST002,월곶포구,25,ST025,목감동행정복지센터,16953.0,16.953,2.6869233844526637,0.156930589,0.156930589,0.0103136,0.0,PRELIMINARY_POINT_BUFFER_PROXY,3.288570612,PRELIMINARY_90M
78,ST002__ST026,2,ST002,월곶포구,26,ST026,은계파크자이,11164.0,11.164,2.3270017875206173,0.328468027,0.272566716,0.077570388,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.711812933,PRELIMINARY_90M
79,ST002__ST027,2,ST002,월곶포구,27,ST027,은행동행정복지센터,10993.0,10.993,2.347637080015806,0.315437364,0.258666769,0.078776632,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.79386186,PRELIMINARY_90M
80,ST002__ST028,2,ST002,월곶포구,28,ST028,매화산업단지,11156.0,11.156,2.341194297693575,0.254709718,0.239656255,0.036980757,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.454896454,PRELIMINARY_90M
81,ST002__ST029,2,ST002,월곶포구,29,ST029,관곡공원,8359.0,8.359,2.454829538271647,0.22113098,0.184447681,0.065623965,0.0,PRELIMINARY_POINT_BUFFER_PROXY,3.003651106,PRELIMINARY_90M
82,ST002__ST030,2,ST002,월곶포구,30,ST030,장곡도서관,5588.0,5.588,2.0815186231395657,0.385608082,0.385608082,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.627351059,PRELIMINARY_90M
83,ST002__ST031,2,ST002,월곶포구,31,ST031,마전저수지,4046.0,4.046,2.0820118152150395,0.187446944,0.187446944,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.023503983,PRELIMINARY_90M
84,ST002__ST032,2,ST002,월곶포구,32,ST032,희망공원,9083.0,9.083,2.650593250822116,0.135475524,0.135475524,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.129956495,PRELIMINARY_90M
85,ST002__ST033,2,ST002,월곶포구,33,ST033,타원산업단지,8860.0,8.86,3.0224207982076776,0.388535107,0.388535107,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.942706983,PRELIMINARY_90M
86,ST002__ST034,2,ST002,월곶포구,34,ST034,군자디지털과학고등학교,7597.0,7.597,1.8353556225191694,0.283611495,0.283611495,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.207590056,PRELIMINARY_90M
87,ST002__ST035,2,ST002,월곶포구,35,ST035,산들공원,7244.0,7.244,1.8624410921821457,0.248901797,0.248901797,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.233402493,PRELIMINARY_90M
88,ST002__ST036,2,ST002,월곶포구,36,ST036,시흥시립군자도서관,12778.0,12.778,2.769855391684176,0.137954825,0.137954825,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,3.991808188,PRELIMINARY_90M
89,ST002__ST037,2,ST002,월곶포구,37,ST037,군자동행정복지센터,13254.0,13.254,2.7063087385279334,0.168906554,0.168906554,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,3.891570706,PRELIMINARY_90M
90,ST002__ST038,2,ST002,월곶포구,38,ST038,능곡도서관,8509.0,8.509,2.167242567914989,0.252130555,0.244053181,0.010839645,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.709976501,PRELIMINARY_90M
91,ST002__ST039,2,ST002,월곶포구,39,ST039,능곡힐스테이트,8607.0,8.607,2.1653653415540304,0.258363518,0.226112006,0.032251511,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.708996677,PRELIMINARY_90M
92,ST002__ST040,2,ST002,월곶포구,40,ST040,갯골생태공원,5178.0,5.178,2.1502804312043358,0.182738865,0.182738865,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.514434926,PRELIMINARY_90M
93,ST002__ST041,2,ST002,월곶포구,41,ST041,연꽃테마파크,10344.0,10.344,2.1053744691108007,0.269401021,0.254193013,0.0526717,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.41630177,PRELIMINARY_90M
94,ST002__ST042,2,ST002,월곶포구,42,ST042,시흥시청역,6940.0,6.94,2.1549162435815505,0.23698744,0.23698744,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.656016441,PRELIMINARY_90M
95,ST002__ST043,2,ST002,월곶포구,43,ST043,시흥종합버스터미널,7296.0,7.296,3.895549908774106,0.451755892,0.451755892,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.940832226,PRELIMINARY_90M
96,ST002__ST044,2,ST002,월곶포구,44,ST044,경기과학기술대학교,9064.0,9.064,2.57415179912506,0.229400406,0.229400406,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,3.049817901,PRELIMINARY_90M
97,ST002__ST045,2,ST002,월곶포구,45,ST045,시흥중앙도서관,5883.0,5.883,3.0629597313091463,0.524937449,0.524937449,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.9182433,PRELIMINARY_90M
98,ST002__ST046,2,ST002,월곶포구,46,ST046,배곧1동행정복지센터,3125.0,3.125,2.815004873907645,0.531949966,0.531949966,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.210764979,PRELIMINARY_90M
99,ST002__ST047,2,ST002,월곶포구,47,ST047,배곧2동행정복지센터,5318.0,5.318,2.389084237673916,0.264626121,0.264626121,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.218655464,PRELIMINARY_90M
100,ST002__ST048,2,ST002,월곶포구,48,ST048,정왕평생학습관 사거리,5879.0,5.879,3.2010053406486016,0.584418621,0.584418621,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.901110981,PRELIMINARY_90M
101,ST002__ST049,2,ST002,월곶포구,49,ST049,거북섬 웨이브파크 정문,11279.0,11.279,2.6964338787885858,0.126061928,0.126061928,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.586662782,PRELIMINARY_90M
102,ST002__ST050,2,ST002,월곶포구,50,ST050,시흥한라3차아파트,4747.0,4.747,3.523226276440958,0.399957822,0.399957822,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.080085862,PRELIMINARY_90M
103,ST002__ST051,2,ST002,월곶포구,51,ST051,연성중학교,7741.0,7.741,2.26792291157827,0.306454625,0.294910451,0.022279897,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.332794515,PRELIMINARY_90M
104,ST002__ST052,2,ST002,월곶포구,52,ST052,가온그린공원,5466.0,5.466,2.0586538771061926,0.303016369,0.303016369,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.048266632,PRELIMINARY_90M
105,ST002__ST053,2,ST002,월곶포구,53,ST053,오이도 빨강등대,10374.0,10.374,2.672653089698992,0.16543645,0.119104544,0.046331907,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.992709671,PRELIMINARY_90M
106,ST002__ST054,2,ST002,월곶포구,54,ST054,시흥 프리미엄 아울렛,1292.0,1.292,1.7682329099189025,0.526537914,0.526537914,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.675401346,PRELIMINARY_90M
107,ST002__ST055,2,ST002,월곶포구,55,ST055,해양생태과학관,10063.0,10.063,3.53342080768877,0.201771908,0.201771908,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.544314901,PRELIMINARY_90M
108,ST003__ST004,3,ST003,배곧한울공원,4,ST004,배곧중심상가,4685.0,4.685,2.9330495193194137,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.18657571,PRELIMINARY_90M
109,ST003__ST005,3,ST003,배곧한울공원,5,ST005,배곧중·고등학교,4928.0,4.928,2.777738601711209,0.110945923,0.110945923,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.138942822,PRELIMINARY_90M
110,ST003__ST006,3,ST003,배곧한울공원,6,ST006,시흥시청 본청,12768.0,12.768,2.392591104727005,0.205756748,0.205756748,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.686058387,PRELIMINARY_90M
111,ST003__ST007,3,ST003,배곧한울공원,7,ST007,장현지구,11918.0,11.918,2.4201159543259982,0.18047956,0.18047956,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.606500355,PRELIMINARY_90M
112,ST003__ST008,3,ST003,배곧한울공원,8,ST008,시흥능곡역,17663.0,17.663,2.541167474348073,0.065282645,0.065282645,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.969392408,PRELIMINARY_90M
113,ST003__ST009,3,ST003,배곧한울공원,9,ST009,능곡중앙공원,13917.0,13.917,2.784335741362443,0.236029627,0.227479745,0.042901196,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.803883182,PRELIMINARY_90M
114,ST003__ST010,3,ST003,배곧한울공원,10,ST010,은계호수공원,16660.0,16.66,2.8353556729571103,0.156027618,0.156027618,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.482129633,PRELIMINARY_90M
115,ST003__ST011,3,ST003,배곧한울공원,11,ST011,배곧생명공원,4442.0,4.442,2.929381135965357,0.030002831,0.030002831,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.252044916,PRELIMINARY_90M
116,ST003__ST012,3,ST003,배곧한울공원,12,ST012,신천역,13626.0,13.626,3.576750328373766,0.192917098,0.192917098,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.804381221,PRELIMINARY_90M
117,ST003__ST013,3,ST003,배곧한울공원,13,ST013,삼미시장,14451.0,14.451,3.7336384826645013,0.191124528,0.182256242,0.039159374,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.944039739,PRELIMINARY_90M
